"country","rating","name","count_of_rents","amount_made"
"Madagascar","PG","Sci-Fi","1","7.99"
"Mozambique","R","Documentary","3","15.97"
"Switzerland","PG","Sports","2","9.98"
"Italy","G","Drama","1","3.99"
"Iran","PG","Foreign","3","9.97"
"Oman","NC-17","Family","1","0.99"
"Paraguay","R","Games","2","7.98"
"Azerbaijan","NC-17","Action","1","0.99"
"Indonesia","NC-17","Classics","4","20.96"
"Venezuela","G","Family","3","13.97"
"Yemen","PG-13","Action","4","11.96"
"Germany","G","Foreign","3","9.97"
"Vietnam","PG","Classics","3","9.97"
"Ukraine","PG","Family","3","8.97"
"Bahrain","PG","Travel","1","4.99"
"Colombia","NC-17","Music","4","18.96"
"Japan","NC-17","Documentary","12","48.88"
"Bulgaria","R","Foreign","1","2.99"
"Malaysia","G","Animation","1","6.99"
"Netherlands","G","Animation","2","3.98"
"Malawi","PG-13","Sci-Fi","2","13.98"
"Ecuador","G","Horror","1","4.99"
"Kazakstan","PG","Action","1","5.99"
"Indonesia","G","Classics","5","17.95"
"Peru","PG","Comedy","3","9.97"
"United States","R","Foreign","11","42.89"
"Yugoslavia","NC-17","Documentary","1","1.99"
"Yemen","NC-17","Drama","3","14.97"
"Bangladesh","G","Action","1","4.99"
"Ecuador","PG-13","Family","2","7.98"
"Japan","PG","Classics","6","27.94"
"Zambia","PG-13","Drama","1","5.99"
"Morocco","G","Action","1","3.99"
"China","G","Comedy","9","27.91"
"Nigeria","PG-13","Sci-Fi","5","23.95"
"Paraguay","PG","Foreign","1","3.99"
"Estonia","PG-13","New","1","2.99"
"Iran","R","Comedy","5","32.95"
"Morocco","R","Sports","2","9.98"
"Austria","PG-13","Action","1","5.99"
"Tanzania","PG","Animation","2","3.98"
"Germany","PG-13","Family","1","4.99"
"Iraq","R","Games","1","1.99"
"Slovakia","R","Family","1","8.99"
"Puerto Rico","R","Games","3","13.97"
"Peru","R","Games","2","9.98"
"Bangladesh","NC-17","Foreign","1","2.99"
"Puerto Rico","R","Classics","1","7.99"
"Nigeria","G","New","5","31.95"
"Liechtenstein","G","Classics","2","2.98"
"Sudan","PG-13","Music","1","2.99"
"Gambia","PG","Sci-Fi","1","5.99"
"Yugoslavia","NC-17","Foreign","1","2.99"
"Angola","PG-13","Foreign","2","5.98"
"Oman","PG-13","Sci-Fi","1","1.99"
"Colombia","R","New","1","4.99"
"Japan","PG","Children","4","12.96"
"Ethiopia","R","Children","1","2.99"
"United States","PG","Children","7","19.93"
"Israel","PG","Horror","1","2.99"
"Estonia","PG-13","Music","1","1.99"
"Saudi Arabia","R","Animation","1","0.99"
"Puerto Rico","G","Animation","1","0.99"
"Turkey","R","Sci-Fi","8","23.92"
"Taiwan","PG-13","Children","3","4.97"
"Germany","PG-13","Children","1","2.99"
"Germany","R","Documentary","3","11.97"
"Indonesia","PG","Family","7","36.93"
"Paraguay","R","Classics","2","11.98"
"Angola","R","Sports","1","8.99"
"Indonesia","PG-13","Music","5","14.95"
"Austria","PG-13","Foreign","2","5.98"
"Kuwait","NC-17","Music","1","5.99"
"Netherlands","G","Travel","1","1.99"
"Mexico","NC-17","Foreign","10","45.90"
"Greenland","G","New","2","10.98"
"Bangladesh","R","Travel","1","0.99"
"Japan","G","Animation","12","40.89"
"Russian Federation","PG-13","Documentary","4","18.96"
"Latvia","PG-13","Drama","1","2.99"
"Malaysia","PG","Comedy","3","11.97"
"Pakistan","G","Family","1","4.99"
"Ukraine","NC-17","Travel","1","4.99"
"Chile","R","Drama","1","6.99"
"United States","NC-17","Children","13","51.87"
"Iran","G","Action","4","14.96"
"Sweden","PG","Documentary","1","0.99"
"Nigeria","G","Documentary","4","14.96"
"France","NC-17","Animation","1","2.99"
"Iran","PG-13","Travel","1","2.99"
"Iran","R","Classics","4","16.96"
"Belarus","NC-17","Travel","1","0.99"
"Tunisia","PG-13","Sci-Fi","1","5.99"
"Taiwan","PG-13","Horror","4","15.96"
"Indonesia","G","Horror","2","6.98"
"United States","NC-17","Travel","5","24.95"
"Philippines","NC-17","Comedy","6","22.94"
"Philippines","PG","Music","5","25.95"
"Nauru","NC-17","Music","2","10.98"
"Brazil","NC-17","Classics","5","22.95"
"Zambia","G","Action","2","6.98"
"Kuwait","PG-13","Music","1","3.99"
"Mexico","G","Music","2","1.98"
"Switzerland","NC-17","Sports","1","0.99"
"Angola","NC-17","Sports","1","2.99"
"Italy","R","Sports","5","25.95"
"Indonesia","PG-13","Animation","7","23.93"
"Russian Federation","R","Documentary","9","46.91"
"Spain","G","Children","3","8.97"
"Egypt","NC-17","Comedy","1","1.99"
"Argentina","R","Sci-Fi","6","23.94"
"Germany","PG","Classics","1","2.99"
"Sudan","R","Sci-Fi","1","6.99"
"New Zealand","G","New","1","9.99"
"Mexico","PG","Music","6","26.94"
"Ethiopia","G","Classics","1","0.99"
"Saudi Arabia","PG","Horror","3","9.97"
"South Africa","R","Children","2","8.98"
"French Polynesia","G","Foreign","1","1.99"
"Tanzania","G","Action","4","20.96"
"Dominican Republic","PG-13","Children","1","2.99"
"Japan","PG","Games","3","18.97"
"Malaysia","NC-17","Music","1","6.99"
"South Africa","G","Sci-Fi","1","0.99"
"United Kingdom","PG-13","Animation","5","18.95"
"Belarus","NC-17","Family","2","4.98"
"China","PG","Horror","17","88.83"
"Virgin Islands, U.S.","R","New","1","2.99"
"United Arab Emirates","PG-13","Sci-Fi","2","5.98"
"Czech Republic","PG","Family","1","4.99"
"Philippines","PG-13","New","3","12.97"
"Cameroon","R","Sci-Fi","1","6.99"
"Italy","G","Animation","1","6.99"
"Angola","R","Foreign","1","4.99"
"Austria","G","Thriller","1","5.99"
"Vietnam","G","Family","1","2.99"
"Moldova","PG","Music","1","0.99"
"France","PG","New","1","4.99"
"Italy","NC-17","Children","8","28.92"
"Latvia","NC-17","Music","1","4.99"
"Liechtenstein","PG-13","Classics","1","4.99"
"Congo, The Democratic Republic of the","PG-13","Travel","3","13.97"
"French Polynesia","PG-13","Drama","1","5.99"
"Argentina","PG-13","Drama","9","37.92"
"Chile","NC-17","Sports","1","4.99"
"Chile","G","Classics","3","10.97"
"French Polynesia","PG-13","Travel","1","2.99"
"Kuwait","R","Family","1","0.99"
"Russian Federation","PG","Sports","2","10.98"
"Iraq","G","Comedy","1","3.99"
"Belarus","PG","Travel","2","6.98"
"Brazil","NC-17","Games","9","45.91"
"Chile","G","Family","1","2.99"
"Romania","R","Horror","1","0.99"
"Sudan","PG-13","Action","2","5.98"
"Philippines","PG-13","Music","1","4.99"
"Italy","PG","Classics","4","15.96"
"Belarus","PG","Children","1","5.99"
"India","PG-13","Action","19","69.81"
"Israel","G","Sports","1","5.99"
"United Arab Emirates","PG","Children","1","4.99"
"Puerto Rico","G","Action","2","5.98"
"Vietnam","R","Games","1","4.99"
"Vietnam","PG-13","Games","2","5.98"
"Peru","NC-17","Documentary","1","4.99"
"Egypt","NC-17","Music","2","11.98"
"Czech Republic","G","Comedy","1","0.99"
"India","NC-17","Drama","20","80.80"
"Sweden","NC-17","Sports","1","5.99"
"Paraguay","R","Music","1","6.99"
"Chad","R","Music","1","0.99"
"Dominican Republic","PG","Travel","1","4.99"
"Dominican Republic","G","Travel","2","7.98"
"Venezuela","NC-17","Documentary","3","10.97"
"Moldova","G","Family","1","2.99"
"Venezuela","NC-17","Sports","3","17.97"
"Sudan","G","Comedy","2","6.98"
"Ukraine","PG-13","Comedy","1","4.99"
"Saudi Arabia","PG-13","Family","1","5.99"
"Taiwan","R","Foreign","6","18.94"
"Pakistan","PG","Travel","5","23.95"
"South Korea","G","Classics","1","2.99"
"Latvia","PG-13","Travel","2","3.98"
"Ukraine","NC-17","Sci-Fi","1","8.99"
"Mozambique","PG","Documentary","4","14.96"
"Taiwan","NC-17","Documentary","4","14.96"
"Indonesia","PG-13","Drama","8","34.92"
"Algeria","R","Children","1","2.99"
"Greenland","G","Drama","1","6.99"
"Israel","PG-13","Action","2","8.98"
"Peru","G","Sci-Fi","2","11.98"
"Mexico","G","Sports","7","42.93"
"French Polynesia","NC-17","Travel","1","4.99"
"Austria","NC-17","Drama","3","11.97"
"North Korea","NC-17","Documentary","2","5.98"
"Mexico","R","Drama","2","8.98"
"Bolivia","NC-17","Music","1","2.99"
"United Kingdom","NC-17","Comedy","1","4.99"
"Pakistan","PG","Documentary","2","9.98"
"India","NC-17","Sports","21","97.79"
"United States","NC-17","Games","18","57.82"
"Slovakia","R","Sports","1","0.99"
"Pakistan","G","Sci-Fi","3","19.97"
"Thailand","PG","Action","3","10.97"
"Nigeria","PG","Horror","3","11.97"
"Bahrain","PG","Family","1","0.99"
"Greenland","NC-17","Comedy","1","9.99"
"Kazakstan","G","Action","1","7.99"
"Netherlands","R","Sports","4","14.96"
"Brazil","R","Music","8","30.92"
"Oman","PG-13","Foreign","2","6.98"
"Iran","PG-13","Games","3","15.97"
"New Zealand","G","Travel","1","2.99"
"Nepal","PG","Horror","1","5.99"
"Cameroon","G","Documentary","2","14.98"
"Morocco","R","Foreign","1","4.99"
"Philippines","NC-17","Music","15","59.85"
"Puerto Rico","G","Sci-Fi","1","2.99"
"Indonesia","PG","Games","4","14.96"
"Spain","R","Documentary","2","5.98"
"Nigeria","R","New","4","20.96"
"Liechtenstein","R","Horror","1","4.99"
"Belarus","PG","Animation","2","10.98"
"Belarus","R","Classics","1","5.99"
"Nigeria","PG","Sports","6","27.94"
"Nigeria","PG","Children","4","13.96"
"Brazil","R","Documentary","8","28.92"
"Zambia","R","Horror","1","4.99"
"Russian Federation","PG-13","Horror","11","33.89"
"Indonesia","R","Games","8","34.92"
"Paraguay","R","Animation","1","10.99"
"Myanmar","R","Games","1","4.99"
"Indonesia","R","New","5","15.95"
"Argentina","PG","Music","1","10.99"
"India","R","Sci-Fi","24","100.76"
"Philippines","PG-13","Games","12","59.88"
"Egypt","PG-13","Family","1","8.99"
"Egypt","NC-17","Children","1","6.99"
"Yugoslavia","PG-13","Travel","1","2.99"
"Yemen","PG-13","New","1","0.99"
"Germany","PG-13","Horror","1","0.99"
"Saint Vincent and the Grenadines","R","Games","1","4.99"
"Tuvalu","PG-13","New","1","4.99"
"Vietnam","NC-17","New","4","7.96"
"Holy See (Vatican City State)","G","Action","1","7.99"
"Romania","G","Foreign","1","4.99"
"Yugoslavia","R","Games","1","4.99"
"Hong Kong","R","Action","1","8.99"
"Malaysia","PG-13","Comedy","1","2.99"
"France","R","Sci-Fi","4","13.96"
"Sudan","NC-17","Children","1","0.99"
"Netherlands","NC-17","Music","2","6.98"
"India","R","New","13","58.87"
"Faroe Islands","G","Sci-Fi","1","0.99"
"Belarus","PG","Action","2","13.98"
"Colombia","NC-17","Travel","1","2.99"
"Nigeria","PG-13","Foreign","8","40.92"
"South Korea","R","Action","1","0.99"
"Vietnam","PG-13","Action","2","9.98"
"Holy See (Vatican City State)","G","Drama","1","2.99"
"Brunei","PG","Documentary","1","4.99"
"Italy","G","Foreign","2","9.98"
"Nigeria","NC-17","Classics","5","10.95"
"Austria","R","Sci-Fi","1","1.99"
"Argentina","NC-17","Drama","5","24.95"
"Dominican Republic","NC-17","Music","2","7.98"
"Sudan","NC-17","Games","1","0.99"
"Netherlands","R","Documentary","2","6.98"
"Anguilla","NC-17","Drama","1","4.99"
"Italy","PG","New","5","29.95"
"South Korea","PG-13","Drama","2","15.98"
"Faroe Islands","G","Sports","2","5.98"
"Poland","NC-17","Family","1","8.99"
"Philippines","PG","Sports","13","71.87"
"Greece","PG-13","Documentary","1","2.99"
"Turkey","PG","Music","3","21.97"
"Cameroon","G","Sports","1","2.99"
"Ecuador","PG","Games","1","6.99"
"Spain","G","Documentary","1","4.99"
"Germany","R","Foreign","2","4.98"
"Canada","PG","Sports","2","5.98"
"Cambodia","G","Travel","1","5.99"
"China","G","Children","11","49.89"
"Pakistan","R","Sports","2","3.98"
"Vietnam","R","New","1","4.99"
"Philippines","NC-17","Sports","9","38.91"
"Mexico","NC-17","Sports","12","43.88"
"Kenya","NC-17","Games","3","8.97"
"Egypt","PG","Comedy","3","9.97"
"South Korea","PG-13","Games","1","6.99"
"Runion","PG-13","Comedy","1","4.99"
"Lithuania","R","Documentary","1","2.99"
"Canada","NC-17","Sports","1","0.99"
"American Samoa","R","Sci-Fi","1","2.99"
"Malaysia","PG-13","New","1","0.99"
"Malaysia","NC-17","Games","2","7.98"
"Russian Federation","R","Sci-Fi","11","50.89"
"Saint Vincent and the Grenadines","G","Documentary","1","5.99"
"Netherlands","PG","Drama","1","1.99"
"Poland","G","Action","4","10.96"
"Cambodia","G","Sci-Fi","1","2.99"
"Lithuania","NC-17","Music","1","4.99"
"Saudi Arabia","NC-17","Sports","4","13.96"
"Faroe Islands","G","Children","1","2.99"
"Yugoslavia","PG","New","2","9.98"
"Bulgaria","R","Sports","2","7.98"
"Turkey","PG","Documentary","8","32.92"
"Saudi Arabia","PG-13","New","6","25.94"
"Peru","PG","Children","1","2.99"
"Russian Federation","PG-13","Sports","11","50.89"
"Japan","PG","Horror","6","22.94"
"South Korea","PG-13","Sports","5","16.95"
"Italy","R","Sci-Fi","1","2.99"
"Indonesia","NC-17","Drama","6","19.94"
"Kenya","NC-17","Classics","1","2.99"
"Italy","R","Drama","2","5.98"
"Congo, The Democratic Republic of the","G","Travel","3","13.97"
"Argentina","PG-13","Classics","3","8.97"
"Israel","PG","Comedy","3","7.97"
"Tanzania","R","Horror","2","9.98"
"Kenya","NC-17","Children","1","4.99"
